ROR ID	Label
038g7dk46	Miskolci Egyetem
038g7dk46	Technical University of Heavy Industry
05a3mwa69	LaGuardia Community College
02atkd403	Laboratoire de Physique et Chimie Théoriques
02atkd403	LPCT
02atkd403	UMR 7019
056635736	Institute of Oriental Studies
056635736	Институт востоковедения
056635736	Federal State Institution of Science Institute of Oriental Studies of the Russian Academy of Sciences
056635736	Institute of Oriental Studies of the Russian Academy of Sciences
033m02g29	National Hellenic Research Foundation
033m02g29	Fondation nationale de recherche hellénique
033m02g29	Εθνικό Ίδρυμα Ερευνών
033m02g29	NHRF
033m02g29	Royal Research Foundation
03frdh605	Huaqiao University
03frdh605	华侨大学
03frdh605	Huáqiáo Dàxué
03arvq761	Volodymyr Dahl East Ukrainian National University
03arvq761	Wschodnioukraiński Uniwersytet Narodowy im. Wołodymyra Dala
03arvq761	Восточноукраинский национальный университет имени Владимира Даля
03arvq761	Східноукраїнський національний університет імені Володимира Даля
03arvq761	SNU
03arvq761	East Ukrainian Volodymyr Dahl National University
01g9ty582	Semmelweis University
01g9ty582	Semmelweis Egyetem
02336z538	Duquesne University
02336z538	DU
05trd4x28	University of Trento
05trd4x28	Università degli Studi di Trento
05trd4x28	Universität Trient
05trd4x28	Université de Trente
04ctjby61	Chapingo Autonomous University
04ctjby61	Universidad Autónoma Chapingo
00xyeez13	Kunming University of Science and Technology
00xyeez13	昆明理工大学
00xyeez13	KMUST
00xyeez13	KUST
01w19ak89	Max Planck Institute for Informatics
01w19ak89	Max-Planck-Institut für Informatik
01w19ak89	MPI-INF 
01w19ak89	MPII
05h9t7759	University of Isfahan
05h9t7759	دانشگاه اصفهان
05h9t7759	UI
05h9t7759	Dāneshgāh-e Esfāhān
00xzqjh13	University of Tennessee System
00xzqjh13	Universidad de Tennessee
00xzqjh13	Université du Tennessee
00xzqjh13	UT System
05qc18f66	V.I. Il'ichev Pacific Oceanological Institute
05qc18f66	Федеральное государственное бюджетное учреждение науки Тихоокеанский океанологический институт им. В.И.Ильичева Дальневосточного отделения Российской академии наук
05qc18f66	POI FEB RAS
05qc18f66	V.I. Il’ichev Pacific Oceanological Institute, Far Eastern Branch
01vw69t89	Dagestan State University
01vw69t89	Дагестанский государственный университет
01vw69t89	DSU
042b69396	Center for Advanced Systems Understanding
042b69396	CASUS
04rymkk69	Muroran Institute of Technology
04rymkk69	室蘭工業大学
04rymkk69	MuIT
04rymkk69	Muroran Kōgyō Daigaku
04rymkk69	MuroranIT
05gt1vc06	Howard University
05gt1vc06	Universidad Howard
001m1hv61	Grand Valley State University
001m1hv61	GVSU
01s5ya894	National Institute of Neurological Disorders and Stroke
01s5ya894	NINDS
00gmyvv50	Alberta Children's Hospital Research Institute
00gmyvv50	ACHRI
00gmyvv50	Alberta Children's Hospital Research Institute for Child and Maternal Health
00jaard37	Nagaoka National College of Technology
00jaard37	長岡工業高等専門学校
00jaard37	NNCT
04yqw9c44	Universidade Federal de Juiz de Fora
04yqw9c44	UFJF
02jqc0m91	Seattle University
02jqc0m91	Universidad de Seattle
02jqc0m91	Université de seattle
02jqc0m91	SU
02jqc0m91	Seattle U
006x4sc24	Gdańsk University of Technology
006x4sc24	Politechnika Gdańska
036f5mx38	Space Telescope Science Institute
036f5mx38	STSCI
05c22rx21	Mila - Quebec Artificial Intelligence Institute
05c22rx21	Mila - Institut québécois d’intelligence artificielle
05c22rx21	Institut québécois d’intelligence artificielle
05c22rx21	Mila
05c22rx21	Montreal Institute for Learning Algorithms
05c22rx21	Quebec Artificial Intelligence Institute
00q6v6102	Spallation Neutron Source
00q6v6102	ORNL SNS
00q6v6102	SNS
00q6v6102	Oak Ridge National Laboratory Spallation Neutron Source
00q6v6102	U.S. Department of Energy Office of Science Oak Ridge National Laboratory Spallation Neutron Source
00q6v6102	United States Department of Energy Office of Science Oak Ridge National Laboratory Spallation Neutron Source
02g9nss57	Anyang Normal University
02g9nss57	安阳师范学院
02g9nss57	AYNU
04g6bbq64	Adam Mickiewicz University in Poznań
04g6bbq64	Uniwersytet im. Adama Mickiewicza w Poznaniu
04g6bbq64	UAM
00nt41z93	University of Aveiro
00nt41z93	Universidade de Aveiro
00prkya54	Dalian Institute of Chemical Physics
00prkya54	大连化学物理研究所
00prkya54	DICP
00prkya54	Huawusuo
04g9wch13	Yale-NUS College
04g9wch13	耶魯-新加坡國立大學學院
027s08w94	Universidade Estadual de Ponta Grossa
027s08w94	State University of Ponta Grossa
027s08w94	UEPG
027s08w94	Ponta Grossa State University
03mb27p64	Tokyo Woman's Christian University
03mb27p64	東京女子大学
03mb27p64	TWCU
039zveh30	Shimizu (Japan)
039zveh30	清水建設株式会社
039zveh30	Shimizu Kensetsu Kabushiki-gaisha
015x8rz21	Laboratoire des Solides Irradiés
015x8rz21	Irradiated Solids Laboratory
015x8rz21	LSI
03srtnf24	Universidade Federal do Ceará
03srtnf24	Federal University of Ceará
03srtnf24	UFC
03srtnf24	Ceará Federal University
042714f67	Universidad Virtual del Estado de Guanajuato
042714f67	UVEG
042714f67	Virtual University of Guanajuato
05vkeks90	Moscow Conservatory
05vkeks90	Московская государственная консерватория им. П. И. Чайковского
05vkeks90	Moscow Imperial Conservatory
05vkeks90	Moscow State Tchaikovsky Conservatory
04znhwb73	Center for Scientific Research and Higher Education at Ensenada
04znhwb73	Centro de Investigación Científica y de Educación Superior de Ensenada
04znhwb73	CICESE
030cw3k54	Moscow Psycho-Social University
030cw3k54	Московский психолого-социальный университет
030cw3k54	MPSU
030cw3k54	МПСУ
030cw3k54	Moscow Psychological and Social University
030cw3k54	ОАНО ВО "МПСУ"
026v1ze26	National Institute for Materials Science
026v1ze26	国立研究開発法人物質・材料研究機構
026v1ze26	NIMS
026v1ze26	Busshitsu-Zairyō Kenkyū Kikō
05y2jpg52	Joint Attosecond Science Laboratory
05y2jpg52	JASLab
01e5ckr65	Herzen University
01e5ckr65	Российский государственный педагогический университет им. А. И. Герцена
01e5ckr65	Herzen State Pedagogical University of Russia
03xyq7v33	Bunkyo Gakuin University
03xyq7v33	文京学院大学
03v8t4025	Russian Quantum Center
03v8t4025	Международный центр квантовой оптики и квантовых технологий
03v8t4025	RQC
02f72qf66	Universidad Tecnológica del Sur de Sonora
02f72qf66	UTS
01jsr8a33	Altai State Agricultural University
01jsr8a33	Алтайский государственный аграрный университет
01jsr8a33	ASAU
02gzbg991	Seattle Pacific University
02gzbg991	SPU
036j0y719	Laboratoire Angevin de Recherche en Mathématiques
036j0y719	LAREMA
042fqyp44	University College London Hospitals NHS Foundation Trust
042fqyp44	UCLH
00p094v10	Universidad Nacional de Hurlingham
00p094v10	UNAHUR
00p094v10	National University of Hurlingham
0475w6974	Kinjo Gakuin University
0475w6974	金城学院大学
0475w6974	Kinjō gakuin daigaku
02aee5m12	Institute of Genetics and Developmental Biology
02aee5m12	中国科学院遗传与发育生物学研究所农业资源研究中心
02aee5m12	IGDB
01vx35703	East Carolina University
01vx35703	Universidad del Este de Carolina
01vx35703	ECU
01vx35703	East Carolina
05xwb6v37	University of Scranton
05xwb6v37	Universidad de Scranton
05xwb6v37	Université de scranton
025kav035	Ripon College
0278r4c85	First Affiliated Hospital of Xinxiang Medical University
050dyr068	Solomon Islands National University
050dyr068	SICHE
050dyr068	SINU
050dyr068	Solomon Islands College of Higher Education
02p6aa271	North-Eastern Federal University
02p6aa271	Северо-Восточный федеральный университет
02p6aa271	NEFU
04xf6nm78	Cadi Ayyad University
04xf6nm78	Université Cadi Ayyad
04xf6nm78	جامعة القاضي عياض
04xf6nm78	UCA
04xf6nm78	University of Marrakesh
0036wzx44	Junshin Gakuen University
0036wzx44	純真学園大学
0036wzx44	Tohwa University
02d02f052	Czech Academy of Sciences, Institute of Physics of Materials
02d02f052	Ústav fyziky materiálů AV ČR
02d02f052	ÚFM AV ČR
02d02f052	Institute of Physics of Materials of the Czech Academy of Sciences
01jmxt844	University of Otago
04m28hd07	Instituto Tecnológico de Tlalnepantla
04m28hd07	ITTLA
04m28hd07	TecNM ITTLA
04m28hd07	IT Tlalnepantlaes
04m28hd07	TecNM Instituto Tecnológico de Tlalnepantla
04m28hd07	TecNM Tlalnepantla
01kp4cp54	All Russia Research Institute of Automatics
01kp4cp54	Науково-дослідний інститут автоматики та енергетики
01kp4cp54	FSUE VNIIA
01kp4cp54	Dukhov Automatics Research Institute
05tkyf982	Ben-Gurion University of the Negev
05tkyf982	جامعة بن غوريون
05tkyf982	BGU
05tkyf982	Universitat Ben Gurion Banegev
0326g9440	Kazan State Power Engineering University
0326g9440	Казанский государственный энергетический университет
0326g9440	KPEI
05g1k4d79	North-Caucasus Federal University
05g1k4d79	Северо-Кавказский федеральный университет
05g1k4d79	NCFU
05g1k4d79	СКФУ
05m7pjf47	University College Dublin
05m7pjf47	An Coláiste Ollscoile Baile Átha Cliath
05m7pjf47	UCD
05m7pjf47	University College Dublin – National University of Ireland, Dublin
02kqnpp86	University of Campania "Luigi Vanvitelli"
02kqnpp86	Università degli Studi della Campania "Luigi Vanvitelli"
02kqnpp86	Second University of Naples
01qfgm256	V.E. Lashkaryov Institute of Semiconductor Physics
01qfgm256	Інститут фізики напівпровідників ім. В.Є. Лашкарьов
01qfgm256	ISP
01qfgm256	V.Ye. Lashkaryov Institute of Semiconductor Physics
05jcsqx24	Saratov State University
05jcsqx24	Саратовский государственный университет имени Н. Г. Чернышевского
05jcsqx24	SGU
04qfph657	Korea Institute of Industrial Technology
04qfph657	한국생산기술연구원
04qfph657	KITECH
05jb9pq57	Shandong First Medical University
05jb9pq57	山东第一医科大学
05jb9pq57	Shandong Academy of Medical Science
05jb9pq57	Shandong First Medical University & Shandong Academy of Medical Sciences
05jb9pq57	Shandong Medical Sciences
05jb9pq57	山东省医学科学院
05jb9pq57	山东第一医科大学（山东省医学科学院)
02cp04407	Université de Limoges
02cp04407	University of Limoges
04qfrh333	Georgia Tech Research Institute
04qfrh333	GTRI
04qfrh333	Georgia Institute of Technology Research Institute
04qfrh333	Georgia Technical Research Institute
03c4atk17	Università della Svizzera italiana
03c4atk17	USI
03c4atk17	University of Italian Switzerland
03c4atk17	University of Lugano
03c4atk17	University of Southern Switzerland
03c4atk17	Université de la Suisse italienne
007cx7r28	Chizhou University
007cx7r28	池州学院
007cx7r28	Chizhou College
0126xah18	Chiba University Hospital
0126xah18	千葉大学医学部附属病院
0126xah18	CHU
03m5h1s11	Turkmen State Institute of Economics and Management
03m5h1s11	Туркменский государственный институт экономики и управления
03m5h1s11	TINE
03m5h1s11	TSIEM
03m5h1s11	Turkmen Institute of National Economy
03m5h1s11	Türkmen döwlet ykdysadyýet we dolandyryş instituty
05r3f7h03	Physikalisch-Technische Bundesanstalt
05r3f7h03	German National Metrology Institute
05r3f7h03	PTB
04y7eh037	Vytautas Magnus University
04y7eh037	Uniwersytet Witolda Wielkiego
04y7eh037	Vytauto Didžiojo universitetas
04y7eh037	Университет Витовта Великого
04y7eh037	VDU
04y7eh037	Vytauto Didžiojo Universitetas
03cqe8w59	Consejo Nacional de Investigaciones Científicas y Técnicas
03cqe8w59	National Scientific and Technical Research Council
03cqe8w59	CONICET
014487k66	Canadian Nuclear Laboratories
014487k66	CNL
03x1ewr52	Thermo Fisher Scientific (United States)
05cy1av38	Moscow City University
05cy1av38	Московский городской университет
05cy1av38	MCU
05cy1av38	Moscow City Teachers Training University
05ja08h10	College of the Sequoias
05ja08h10	COS
03kgj4539	TRIUMF
03kgj4539	TRI University Meson Facility
04z4pf693	Sholem Aleichem Amur State University
04z4pf693	Приамурский государственный университет имени Шолом-Алейхема
04z4pf693	Birobidzhan State Pedagogical Institute
04z4pf693	Priamursky State University named after Sholom Aleichem
028mtfb17	Synergy University
028mtfb17	Московский финансово-промышленный университет Синергия
028mtfb17	Moscow University of Industry and Finance
028mtfb17	Synergy
057jm7w82	Tokyo University of Pharmacy and Life Sciences
057jm7w82	東京薬科大学
057jm7w82	TUPLS
057jm7w82	Tōkyō yakka daigaku
0130jk839	University Hospitals of Cleveland
008fyn775	Wrocław University of Science and Technology
008fyn775	Politechnika Wrocławska
029ez4v67	Instituto Federal de Educação, Ciência e Tecnologia de Sergipe
029ez4v67	IFS
029ez4v67	Federal Institute of Education, Science, and Technology of Sergipe
029ez4v67	Federal Institute of Sergipe
029ez4v67	Instituto Federal de Sergipe
02kx1hs47	Brera Astronomical Observatory
02kx1hs47	Observatoire astronomique de brera
02kx1hs47	osservatorio astronomico di Brera
02kx1hs47	Osservatorio Astronomico di Brera
02rxc7m23	Universidad de Navarra
02rxc7m23	Nafarroako Unibertsitatea
02rxc7m23	University of Navarra
02rxc7m23	UNAV
01d7n9638	ITER
01d7n9638	International Thermonuclear Experimental Reactor
01d7n9638	The Way
01d963745	Instituto de Biomedicina y Biotecnología de Cantabria
01d963745	Institute of Biomedicine and Biotechnology of Cantabria
01d963745	IBBTEC
02drdmm93	Chinese Academy of Medical Sciences & Peking Union Medical College
02drdmm93	中国医学科学院北京协和医学院
02drdmm93	CAMS
02drdmm93	CAMS&PUMC
02drdmm93	PUMC
02drdmm93	Chinese Academy of Medical Sciences
02drdmm93	Peking Union Medical College
02drdmm93	中国医学科学院
02drdmm93	北京协和医学院
05kfstc28	Sardar Patel University
05kfstc28	सरदार पटेल विश्वविद्यालय
05kfstc28	સરદાર પટેલ યુનિવર્સિટી
05kfstc28	SPU
03fws8b96	Amur State University
03fws8b96	Амурский государственный университет
03fws8b96	BIT
03fws8b96	Blagoveshchensk Institute of Technology
02rxnmn30	Minnesota Department of Agriculture
02rxnmn30	MDA
02ypdzw54	Tecnológico de Estudios Superiores de Chalco
02ypdzw54	TESCHA
02ypdzw54	Instituto Tecnologico de Chalco
04ymgwq66	Changzhou University
04ymgwq66	常州大学
04ymgwq66	CZU
04etcj997	Inter-University Centre for Astronomy and Astrophysics
04etcj997	ইন্টার-ইউনিভার্সিটি সেন্টার ফর অ্যাস্ট্রোনমি অ্যান্ড অ্যাস্ট্রোফিজিক্স
04etcj997	ഇന്റർ യൂനിവേഴ്സിറ്റി സെന്റർ ഫോർ ആസ്ട്രോണമി ആൻഡ് ആസ്ട്രോഫിസിക്സ്
04etcj997	IUCAA
02djqfd08	Zhejiang University of Technology
02djqfd08	浙江工业大学
02djqfd08	ZJUT
02djqfd08	Zhèjiāng Gōngyè Dàxúe
02gyps716	University of Évora
02gyps716	Universidade de Évora
04ydmy275	University of Massachusetts Boston
04ydmy275	Universidad de Massachusetts Boston
04ydmy275	Université du Massachusetts
04ydmy275	UMass Boston
050w9j879	Kuban State Technological University
050w9j879	Кубанский государственный технологический университет
050w9j879	Kuban State University of Technology
00rafd796	Instituto de Ciencia de Materiales de Sevilla
00rafd796	ICMS
00rafd796	Institute of Materials Science of Seville
00rafd796	Seville Institute of Materials Science
02eb4t121	Purple Mountain Observatory
02eb4t121	中国科学院紫金山天文台
02eb4t121	PMO
02eb4t121	Cradle of Modern Astronomy
02eb4t121	Institute of Astronomy
02eb4t121	Zijinshan Astronomical Observatory
00afp2z80	University of Liège
00afp2z80	Universiteit van Luik
00afp2z80	Universität Lüttich
00afp2z80	Université de Liège
00afp2z80	ULiège
02djvb753	Barasat Government College
03wkg3b53	National Eye Institute
03wkg3b53	NEI
018wg9441	Hubei University of Science and Technology
018wg9441	湖北科技学院
018wg9441	HBUST
018wg9441	Xianning College
018wg9441	Xianning University
055a4rj94	Kashi University
055a4rj94	喀什大学
055a4rj94	Kashgar Normal College
055a4rj94	Kashgar Teachers College
055a4rj94	喀什师范学院
05sj3n476	Tokyo University of Science
05sj3n476	東京理科大学
05sj3n476	Science University of Tokyo
05sj3n476	Tōkyō Rika Daigaku
012gwbh42	Instituto Cajal
012gwbh42	Cajal Institute
012gwbh42	IC
012gwbh42	Instituto de Neurobiología Ramón y Cajal
054d77k59	University of Agriculture Faisalabad
054d77k59	جامعہ زرعیہ فیصل آباد
054d77k59	UAF
054d77k59	Punjab Agricultural College and Research Institute
05d80kz58	Henan University of Science and Technology
05d80kz58	河南科技大学
05d80kz58	HAUST
05d80kz58	Hénán Kējì Dàxué
03hw0dp08	International University of Travnik
03hw0dp08	Internacionalni univerzitet Travnik
03hw0dp08	IUT
04mjvsy78	Igenomix
01fyk0v41	Shimonoseki City University
01fyk0v41	下関市立大学
01fyk0v41	SCU
01fyk0v41	Shimonoseki Commercial Junior College
033xmtn97	Crimean Republican Institute of Post-Decisive Pedagogical Education
033xmtn97	Крымский республиканский институт постдипломного педагогического образования
033xmtn97	Криппо
011pcwc98	Stanford University School of Medicine
059n54003	École nationale supérieure de techniques avancées Bretagne
059n54003	National Institute of Advanced Technologies of Brittany
059n54003	ENSIETA
059n54003	ENSTA Bretagne
037b5pv06	University of Pecs
037b5pv06	Pécsi Tudományegyetem
037b5pv06	PTE
01dbbhw70	Bashkir Academy of Public Administration and Management under the Head of the Republic of Bashkortostan
01dbbhw70	Башкирская академия государственной службы и управления при Главе Республики Башкортостан
01dbbhw70	BAGSU
04t8qjg16	Central Drug Research Institute
04t8qjg16	केन्द्रीय औषधि अनुसंधान संस्थान
04t8qjg16	కేంద్రీయ ఔషధ పరిశోధనా సంస్థ
04t8qjg16	CDRI
0190x2a66	Xinyang Normal University
0190x2a66	信阳师范学院
0190x2a66	XYNU
04xyxjd90	Nottingham Trent University
04xyxjd90	NTU
01sb6ek09	Ghulam Ishaq Khan Institute of Engineering Sciences and Technology
01sb6ek09	غلام اسحاق انسٹیٹیوٹ برائے انجینیرنگ سائنس اینڈ ٹیکنالوجی
01sb6ek09	GIKI 
02ad7ap24	Qujing Normal University
02ad7ap24	曲靖师范学院
02ad7ap24	QJNU 
039bjqg32	University of Warsaw
039bjqg32	Uniwersytet Warszawski
039bjqg32	UW
04dxeze48	Laboratoire de Mécanique des Fluides et d'Acoustique
04dxeze48	Fluid Mechanics and Acoustics Laboratory
04dxeze48	LMFA
04dxeze48	UMR 5509
04bccg972	Tajik National University
04bccg972	Донишгоҳи давлатии миллии Тоҷикистон
04bccg972	Таджикский национальный университет
04bccg972	TNU
04mb6s476	RIKEN Center for Integrative Medical Sciences
04mb6s476	国立研究開発法人 理化学研究所 生命医科学研究センター
04mb6s476	IMS
054spjc55	University of Colorado Colorado Springs
054spjc55	Universidad de Colorado en Colorado Springs
054spjc55	Université du Colorado à Colorado Springs
054spjc55	UCCS
010zh7098	Saint Mary's University
010zh7098	Université saint mary
010zh7098	SMU
0066qbn28	Inter-University Accelerator Centre
0066qbn28	IUAC
0066qbn28	Inter-University Centre
0066qbn28	Nuclear Science Centre
031vnay14	Mountain Area Health Education Center
031vnay14	MAHEC
03092z988	Saint Petersburg State University of Civil Aviation
03092z988	Санкт-Петербургский государственный университет гражданской авиации
05f82e368	Université Paris Cité
05f82e368	University of Paris
05f82e368	Université de Paris
04za5zm41	University Hospital Carl Gustav Carus
04za5zm41	Universitätsklinikum Carl Gustav Carus Dresden
04za5zm41	Carl Gustav Carus Hospital
04hhhj520	Donetsk National University of Economics and Trade named after Mykhailo Tugan-Baranovsky
04hhhj520	Донецкий Национальній Университет Экономики и Торговли имени Михаила Туган-Барановского
04hhhj520	Донецький Національний Університет Економіки і Торгівлі імені Михайла Туган-Барановського
04hhhj520	DonNUET
03hcakg70	Pushkin State Russian language Institute
03hcakg70	Государственный Институт русского языка им. А.С. Пушкина
03hcakg70	Pushkin Institute
03hcakg70	State Institute of Russian Language
04gwtvf26	Xihua University
04gwtvf26	西华大学
04gwtvf26	XHU
01vwr6t80	Citadel
01vwr6t80	Académie militaire de caroline du sud
01vwr6t80	Military College of South Carolina
02etsyv71	Russian Economic University after G.V. Plekhanov
02etsyv71	Российский экономический университет имени Г.В. Плеханова
01hrxxx24	Arturo Prat University
01hrxxx24	Universidad Arturo Prat
03frjya69	Daegu Gyeongbuk Institute of Science and Technology
03frjya69	대구경북과학기술원
03frjya69	DGIST
01m2pas06	NTT Basic Research Laboratories
01m2pas06	NTT 物性科学基礎研究所
02ryrf141	Van Lang University
02ryrf141	Trường Đại học Văn Lang
05aqbyb84	State Agricultural Academy of Velikie Luki
05aqbyb84	Великолукская государственная сельскохозяйственная академия
05aqbyb84	ВГСХА
01x8hew03	Bulgarian Academy of Sciences
01x8hew03	Bulgar Bilimler Akademisi
01x8hew03	Българска академия на науките
01x8hew03	BAS
01x8hew03	Balgarska Akademiya na Naukite
058nbms57	Florida Department of Agriculture and Consumer Services
058nbms57	FDACS
036c9yv20	University of Kansas Medical Center
036c9yv20	KUMC
036c9yv20	KU Med
036c9yv20	KU Medical Center
049s0rh22	Dartmouth College
036vt3264	Railway Technical Research Institute
036vt3264	鉄道総合技術研究所
036vt3264	RTRI
024nfx323	Quzhou University
024nfx323	衢州学院
02s5yma07	Himachal Pradesh University
02s5yma07	HPU
01p455v08	Xinjiang Medical University
01p455v08	新疆医科大学
01p455v08	XMU
01p455v08	Shinjang Tibbiy Universitet
01p455v08	Xinjiang Medical College
04thqfb29	State Key Laboratory of High Field Laser Physics
04thqfb29	强场激光物理国家重点实验室
04thqfb29	State Key Lab of High Field Laser Physics
040r57n67	Nicolaus Copernicus Astronomical Center
040r57n67	Centrum Astronomiczne im. Mikołaja Kopernika
040r57n67	CAMK
040r57n67	NCAC 
040r57n67	Centrum Astronomiczne im. Mikołaja Kopernika Polskiej Akademii Nauk
040r57n67	Nicolaus Copernicus Astronomical Center of the Polish Academy of Sciences
0030f2a11	Universitätsklinikum Erlangen
0030f2a11	University Hospital Erlangen
0461cvh40	Gangneung–Wonju National University
0461cvh40	강릉원주대학교
0461cvh40	GWNU
0589kgd85	Yukawa Institute for Theoretical Physics
0589kgd85	京都大學湯河理論物理研究所
0589kgd85	YITP
02vrpj575	Kyiv Academic University
02vrpj575	Київський Академічний Університет
02vrpj575	KAU
01a6tsm75	Hillel Yaffe Medical Center
01a6tsm75	HYMC
02gz6gg07	Florida International University
02gz6gg07	Universidad Internacional de Florida
02gz6gg07	Université internationale de floride
02gz6gg07	FIU
01eb3qa50	Institute of Mathematics, Physics, and Mechanics
01eb3qa50	IMFM
01eb3qa50	Inštitut za Matematiko, Fiziko in Mehaniko
01m6ap410	University of Saint Joseph
01m6ap410	Universidade de São José
01m6ap410	聖若瑟大學
01m6ap410	USJ
01m6ap410	Macau Inter-University Institute
002kje223	iThemba Laboratory
002kje223	NAC
002kje223	National Accelerator Centre
02y28sc20	Visva-Bharati University
02y28sc20	विश्व-भारती विश्वविद्यालय
02y28sc20	বিশ্বভারতী বিশ্ববিদ্যালয়
02y28sc20	ਵਿਸ਼ਵ ਭਾਰਤੀ ਯੂਨੀਵਰਸਿਟੀ
02y28sc20	വിശ്വഭാരതി സർ വ്വകലാശാല
02y28sc20	Vishva-Vidyalaya
05tqx4s13	RIKEN Nishina Center
05tqx4s13	国立研究開発法人理化学研究所仁科加速器科学研究センター
05tqx4s13	RIKEN Nishina Center for Accelerator-Based Science
01g3mb532	Institut Pluridisciplinaire Hubert Curien
01g3mb532	Hubert Curien Pluridisciplinary Institute
01g3mb532	IPHC
00822yn93	Instituto de Física de Buenos Aires
00822yn93	Institute of Physics of Buenos Aires
00822yn93	IFIBA
00822yn93	IFIBA-CONICET
00822yn93	El IFIBA
00vasag41	University of Neuchâtel
00vasag41	Universität Neuenburg
00vasag41	Université de Neuchâtel
005gbx671	Institute of Philosophy
005gbx671	Институт философии
005gbx671	Federal State Institution of Science Institute of Philosophy of the Russian Academy of Sciences
006thab72	MSH Medical School Hamburg – University of Applied Sciences and Medical University
006thab72	MSH
006thab72	MSH Medical School Hamburg
006thab72	Medical School Hamburg
01bw5rm87	Bangladesh Atomic Energy Commission
01bw5rm87	BAEC
01bw5rm87	Bangladesh Molecular Energy Commission
02xh9x144	University of Prince Edward Island
02xh9x144	Université de l'Île-du-prince-Édouard
02xh9x144	UPEI
02xh9x144	Prince of Wales College
02xh9x144	Saint Dunstan's University
02aj8qz21	Fujian Academy of Agricultural Sciences
02aj8qz21	FAAS
02hfhf494	Kuzbass State Technical University
02hfhf494	Кузбасский государственный технический университет
